,Item Description,Category
0,Jim Beam,1011200.0
2,Sunny Brook Blend Whiskey,1011100.0
4,Five Star,1011100.0
5,Hawkeye Vodka 80 Prf Mini,1031000.0
6,Everclear Alcohol,1091200.0
7,Mccormick Vodka,1031000.0
8,Mccormick Vodka Pet,1031000.0
9,UV Whipped,1031200.0
10,Uv Red (cherry) Vodka,1031200.0
11,Black Velvet,1012100.0
12,Seagrams Extra Dry Gin,1041100.0
13,Belvedere Vodka,1032000.0
14,Barton Vodka,1031000.0
15,Chivas Regal 12 Yr,1012200.0
16,Christian Bros Peach,1051100.0
17,Chi-Chi's White Russian,1070000.0
18,1800 Ultimate Margarita,1070000.0
19,Fireball Cinnamon Whiskey PET,1081600.0
20,Fireball Cinnamon Whiskey,1081600.0
21,Dr. Mcgillicuddy's Apple Pie Schnapps,1082200.0
22,Dr. Mcgillicuddy's Cherry Schnapps,1082200.0
23,Kinky Liqueur Mini,1081000.0
24,Kinky Blue Mini,1081000.0
25,Lauder's Scotch,1012200.0
26,Crown Royal Regal Apple Mini,1012100.0
27,Jose Cuervo Coconut Pineapple,1070000.0
28,Bird Dog Apple Flavored Whiskey,1011100.0
29,Caravella Limoncello w/Glass,1701100.0
30,Evan Williams Peach,1091000.0
31,Rebel Yell Root Beer Whiskey,1081600.0
32,Crown Royal Vanilla,1012100.0
33,After Shock Cinnamon Liqueur,1081400.0
34,Dekuyper Grape Pucker Schnapps,1081400.0
35,House Of Stuart,1012200.0
36,Bombay Dry Gin,1042100.0
37,Hpnotiq,1082000.0
38,Bailey's Original Irish Cream,1081200.0
39,Canadian Club Whisky,1012100.0
40,Barton Rum Light,1062200.0
41,Captain Morgan Spiced Rum,1062400.0
43,Absolut Raspberri,1032200.0
44,Absolut Swedish Vodka 80 Prf,1032000.0
45,Skyy Vodka,1031000.0
46,Barton Gin,1041100.0
47,Hennessy Vs Cognac,1052100.0
48,Paramount Creme De Menthe/green,1081000.0
49,Bacardi Superior Rum,1062200.0
51,Dekuyper Luscious Peachtree Schnapps,1081400.0
52,Dekuyper Peachtree,1081400.0
53,Cabo Wabo Reposado,1022200.0
54,Remy Martin Vsop Cognac,1052100.0
55,Dekuyper Luscious Razzmatazz,1081400.0
56,99 Bananas Mini,1081400.0
57,Paul Masson Grande Amber Brandy,1051100.0
58,Beam's 8 Star Bl Whiskey,1011100.0
59,Crown Royal Regal Apple,1012100.0
60,Crown Royal Canadian Whisky,1012100.0
62,Paramount Peppermint Schnapps,1081400.0
63,Ciroc Red Berry,1032200.0
64,Ciroc Pineapple,1032200.0
65,Ciroc Peach,1032200.0
66,Absolut Citron (lemon Vodka),1032200.0
67,Uv Green (apple) Vodka,1031200.0
68,Uv Orange Vodka,1031200.0
69,Bacardi Oakheart,1062400.0
70,Appleton Signature Blend,1062100.0
71,E & J Vs,1051100.0
72,Tullamore Dew Irish Whisky,1012400.0
74,Dekuyper Buttershots Schnapps,1081400.0
75,Pendleton Canadian Whisky,1012100.0
76,Cabo Wabo Blanco,1022200.0
77,Don Julio Reposado,1022200.0
78,Paramount Amaretto,1081000.0
79,Stolichnaya Vanil Vodka 75 Proof,1032200.0
80,Stolichnaya Ohranj Vodka,1032200.0
81,Sailor Jerry Spiced Navy Rum,1062400.0
82,Bombay Sapphire Gin,1042100.0
