,Item Description,Category Name
0,Jim Beam,Straight Bourbon Whiskies
2,Sunny Brook Blend Whiskey,Blended Whiskies
4,Five Star,Blended Whiskies
5,Hawkeye Vodka 80 Prf Mini,American Vodka
6,Everclear Alcohol,Neutral Grain Spirits
7,Mccormick Vodka,American Vodka
8,Mccormick Vodka Pet,American Vodka
9,UV Whipped,American Flavored Vodka
10,Uv Red (cherry) Vodka,American Flavored Vodka
11,Black Velvet,Canadian Whiskies
12,Seagrams Extra Dry Gin,American Dry Gins
13,Belvedere Vodka,Imported Vodka
14,Barton Vodka,American Vodka
15,Chivas Regal 12 Yr,Scotch Whiskies
16,Christian Bros Peach,American Brandies
17,Chi-Chi's White Russian,Cocktails / RTD
18,1800 Ultimate Margarita,Cocktails / RTD
19,Fireball Cinnamon Whiskey PET,Whiskey Liqueur
20,Fireball Cinnamon Whiskey,Whiskey Liqueur
21,Dr. Mcgillicuddy's Apple Pie Schnapps,Imported Schnapps
22,Dr. Mcgillicuddy's Cherry Schnapps,Imported Schnapps
23,Kinky Liqueur Mini,American Cordials & Liqueurs
24,Kinky Blue Mini,American Cordials & Liqueurs
25,Lauder's Scotch,Scotch Whiskies
26,Crown Royal Regal Apple Mini,Canadian Whiskies
27,Jose Cuervo Coconut Pineapple,Cocktails / RTD
28,Bird Dog Apple Flavored Whiskey,Blended Whiskies
29,Caravella Limoncello w/Glass,Temporary & Specialty Packages
30,Evan Williams Peach,American Distilled Spirits Specialty
31,Rebel Yell Root Beer Whiskey,Whiskey Liqueur
32,Crown Royal Vanilla,Canadian Whiskies
33,After Shock Cinnamon Liqueur,American Schnapps
34,Dekuyper Grape Pucker Schnapps,American Schnapps
35,House Of Stuart,Scotch Whiskies
36,Bombay Dry Gin,Imported Dry Gins
37,Hpnotiq,Imported Cordials & Liqueurs
38,Bailey's Original Irish Cream,Cream Liqueurs
39,Canadian Club Whisky,Canadian Whiskies
40,Barton Rum Light,White Rum
41,Captain Morgan Spiced Rum,Spiced Rum
43,Absolut Raspberri,Imported Flavored Vodka
44,Absolut Swedish Vodka 80 Prf,Imported Vodka
45,Skyy Vodka,American Vodka
46,Barton Gin,American Dry Gins
47,Hennessy Vs Cognac,Imported Brandies
48,Paramount Creme De Menthe/green,American Cordials & Liqueurs
49,Bacardi Superior Rum,White Rum
51,Dekuyper Luscious Peachtree Schnapps,American Schnapps
52,Dekuyper Peachtree,American Schnapps
53,Cabo Wabo Reposado,100% Agave Tequila
54,Remy Martin Vsop Cognac,Imported Brandies
55,Dekuyper Luscious Razzmatazz,American Schnapps
56,99 Bananas Mini,American Schnapps
57,Paul Masson Grande Amber Brandy,American Brandies
58,Beam's 8 Star Bl Whiskey,Blended Whiskies
59,Crown Royal Regal Apple,Canadian Whiskies
60,Crown Royal Canadian Whisky,Canadian Whiskies
62,Paramount Peppermint Schnapps,American Schnapps
63,Ciroc Red Berry,Imported Flavored Vodka
64,Ciroc Pineapple,Imported Flavored Vodka
65,Ciroc Peach,Imported Flavored Vodka
