,Store Number,Address
35,4312,2411 S 24TH ST #1
117,5244,708 2nd  AVE  SE
164,4829,1501 Michigan Ave
184,4361,4575 NW 2nd
195,2478,One Prairie Meadows Drive
217,4819,2635 Adventureland Dr
274,3644,3501  8th St SW
332,3870,3414 8th St SW
403,5057,4960 E Broadway Ave
411,2532,2540 E Euclid
471,5318,2839 East University Ave
503,4799,2930 E University Ave
513,2636,2310 Hubbell Ave
549,3696,5101 SE 14th St
569,4622,"3941, SE 14th St"
611,3651,1500 North Jefferson
630,4684,1201 N Jefferson
671,2448,705 E. SECOND
715,5359,8400 NICC Drive
749,2549,910 N Jefferson
830,2527,1107 SE Army Post Rd
970,4617,2501 HUBBELL AVE
1013,5313,2424 SW 9th St # 1
1053,2536,4815 Maple Drive
1084,3816,200 E Oak St
1115,9013,4349 Cumming Ave.
1118,9913,4349 Cumming Ave.
1120,3618,3601 29th Ave SW
1166,2509,1520 6th St SW
1251,4845,"216, 3rd St SE"
1290,5142,"2315, Mt Vernon Rd SE"
1356,2588,4035 Mt Vernon Rd SE
1513,2590,3235 Oakland Road NE
1650,4487,1661 32nd St NE
1674,4636,2904 Center Point Rd NE
1707,3385,2605 Blairs Ferry Rd NE
1745,3628,2645 Blairs Ferry Rd NE
1777,2647,5050 Edgewood Rd
1953,4154,885 Miller Rd
1977,2605,2001 Blairs Ferry Road NE
2069,4624,300 E Blairs Ferry Rd
2144,5097,3717 1st Ave SE
2152,4687,3132 1st Ave NE
2161,4771,"502, E Ave NW"
2199,5214,550 Wilson Ave SW
2211,2622,1125 N Dodge St
2219,2627,3424 Martin Luther King Jr Pkw
2291,4677,2900 Heartland Dr
2447,2285,401 East Market St
2448,4161,2530 Westwinds Dr
2467,5286,"108, College"
2496,5060,"504, E Burlington St"
2519,5014,22 S Van Buren St
2528,3896,1901 Broadway St
2628,5111,2601 Hwy 6 East
2646,4160,2765 Commerce Dr
2675,2513,812  S 1st Ave
2792,4728,2214 Muscatine Ave
2817,2844,2425 Muscatine Ave
2832,2545,310 N 1st St
2918,4697,601 Hollywood Blvd
2930,3980,919 Hwy 1 West
2980,4844,"2580, Naples Ave"
3004,3926,315 S Gilbert St
3083,5224,517 2nd St
3130,4134,105 W Monroe St
3144,3849,711  16th Ave SE
3276,2624,2395 NW Arterial Rd
3439,3944,4400 Asbury Rd
3450,3632,4200 Dodge St
3494,2524,3500 Dodge St
3607,4106,2255 John F Kennedy Rd
3642,4334,2050 John F Kennedy Rd
3660,2413,1691 Asbury Road
3764,3959,1600 University Ave
3789,5258,"535, Hill Street"
3806,3841,157 Locust St
3834,4167,1256 Iowa St
4005,3774,1800 Elm St
4020,4712,345 E 20th St
4029,5042,1101 Rhomberg Ave
4045,3738,2225 Central Ave
4069,4535,4003 Peru Rd
4078,2649,400 Locust St
4233,3495,228 N Main St
4379,4252,433 N Farley St
4407,4137,200 SE Laurel St
4416,4299,9 Waterhouse Ave
4461,2666,2510 SW State St
4463,4136,351 Gateway Dr
4464,9911,501 7th ave SE
4476,4599,3700 Hubbell Ave
4520,3625,1002 SE National Dr
4559,5124,5440 NW  86th St
4621,4131,8450 Meredith Dr
4641,3691,11148 Plum Dr
4696,4449,12041 Douglas Pkwy
4707,4450,4585 156th St
4717,2665,1005 E Hickman Rd
4789,3943,519 Lincolnway
4806,4378,85  4th St
4813,4384,409 Nile Kinnick Dr
4830,4623,700 Debra Dr
4840,5092,7265 Vista Dr
4869,2619,1725  74th St
5140,2200,619 E Main St
5157,4098,2485 Hwy 92
5183,4021,2701 W Burlington Ave
5210,3811,300 North Park Dr
5227,3562,324 West Agency Rd
5272,3790,1045 N Grand Ave
5301,2552,20 Wilson Avenue West
5456,4492,3625 Edgewood Rd SW
5471,3666,3400 Edgewood Rd SW
5492,4956,"4920, Johnson Ave NW"
5529,4788,324 Edgewood Rd NW
5544,3912,225 Edgewood Rd
5595,5176,"455, Edgewood Rd NW"
5717,4443,1204 1st St
5726,4895,5427 Center Point Rd NE
5783,4634,"4201, Center Point Rd NE"
5802,5230,"4107, Center Point Rd NE"
5821,2843,4116 Center Pointe Rd
5849,5254,2933 1st Ave SE
5877,4496,"2824, 1st Ave NE"
5900,4660,"1904, Mt Vernon Rd SE"
5915,4637,3301 J St
5942,4566,30 Four Oaks Dr SW
5957,3822,1205 Curtis Br Rd NE
5976,3663,1334 Flammang Dr
6013,3889,700  29 St SW
6027,3859,302 Enterprise Dr SW
6038,4019,1220 West Main
6054,2113,1119 Market St. Box 71
6079,5141,"1131, Market St"
6091,4998,820 E Main St
6159,5010,106 S 16th St
6183,4118,502 5th Street
