,Store Number,City
35,4312,Council Bluffs
117,5244,Cresco
164,4829,Des Moines
184,4361,Des Moines
195,2478,Altoona
217,4819,Altoona
274,3644,Altoona
332,3870,Altoona
403,5057,Des Moines
411,2532,Des Moines
471,5318,Des Moines
503,4799,Des Moines
513,2636,Des Moines
549,3696,Des Moines
569,4622,Des Moines
611,3651,Indianola
630,4684,Indianola
671,2448,Indianola
715,5359,Peosta
749,2549,Indianola
830,2527,Des Moines
970,4617,Des Moines
1013,5313,Des Moines
1053,2536,Pleasant Hill
1084,3816,Red Oak
1115,9013,Cumming
1118,9913,Cumming
1120,3618,Cedar Rapids
1166,2509,Cedar Rapids
1251,4845,Cedar Rapids
1290,5142,Cedar Rapids
1356,2588,Cedar Rapids
1513,2590,Cedar Rapids
1650,4487,Cedar Rapids
1674,4636,Cedar Rapids
1707,3385,Cedar Rapids
1745,3628,Cedar Rapids
1777,2647,Cedar Rapids
1953,4154,Hiawatha
1977,2605,Cedar Rapids
2069,4624,Hiawatha
2144,5097,Cedar Rapids
2152,4687,Cedar Rapids
2161,4771,Cedar Rapids
2199,5214,Cedar Rapids
2211,2622,Iowa City
2219,2627,Des Moines
2291,4677,Coralville
2447,2285,Iowa City
2448,4161,Iowa City
2467,5286,Iowa City
2496,5060,Iowa City
2519,5014,Iowa City
2528,3896,Iowa City
2628,5111,Iowa City
2646,4160,Iowa City
2675,2513,Iowa City
2792,4728,Iowa City
2817,2844,Iowa City
2832,2545,Iowa City
2918,4697,Iowa City
2930,3980,Iowa City
2980,4844,Iowa City
3004,3926,Iowa City
3083,5224,Coralville
3130,4134,Pleasantville
3144,3849,Dyersville
3276,2624,Dubuque
3439,3944,Dubuque
3450,3632,Dubuque
3494,2524,Dubuque
3607,4106,Dubuque
3642,4334,Dubuque
3660,2413,Dubuque
3764,3959,Dubuque
3789,5258,Dubuque
3806,3841,Dubuque
3834,4167,Dubuque
4005,3774,Dubuque
4020,4712,Dubuque
4029,5042,Dubuque
4045,3738,Dubuque
4069,4535,Dubuque
4078,2649,Dubuque
4233,3495,Monticello
4379,4252,Monticello
4407,4137,Waukee
4416,4299,Central City
4461,2666,Ankeny
4463,4136,Grimes
4464,9911,Urbandale
4476,4599,Des Moines
4520,3625,Ankeny
4559,5124,Johnston
4621,4131,Urbandale
4641,3691,Urbandale
4696,4449,Urbandale
4707,4450,Urbandale
4717,2665,Waukee
4789,3943,Nevada
4806,4378,Waukee
4813,4384,Adel
4830,4623,Van Meter
4840,5092,West Des Moines
4869,2619,West Des Moines
5140,2200,Sac City
5157,4098,Washington
5183,4021,Fairfield
