,Store Number,County
35,4312,POTTAWATTA
117,5244,HOWARD
164,4829,POLK
184,4361,POLK
195,2478,POLK
217,4819,POLK
274,3644,POLK
332,3870,POLK
403,5057,POLK
411,2532,POLK
471,5318,POLK
503,4799,POLK
513,2636,POLK
549,3696,POLK
569,4622,POLK
611,3651,WARREN
630,4684,WARREN
671,2448,WARREN
715,5359,DUBUQUE
749,2549,WARREN
830,2527,POLK
970,4617,POLK
1013,5313,POLK
1053,2536,Polk
1084,3816,MONTGOMERY
1115,9013,WARREN
1118,9913,WARREN
1120,3618,LINN
1166,2509,LINN
1251,4845,LINN
1290,5142,Linn
1356,2588,LINN
1513,2590,LINN
1650,4487,LINN
1674,4636,LINN
1707,3385,LINN
1745,3628,LINN
1777,2647,LINN
1953,4154,LINN
1977,2605,LINN
2069,4624,LINN
2144,5097,LINN
2152,4687,LINN
2161,4771,LINN
2199,5214,LINN
2211,2622,JOHNSON
2219,2627,POLK
2291,4677,JOHNSON
2447,2285,JOHNSON
2448,4161,JOHNSON
2467,5286,JOHNSON
2496,5060,JOHNSON
2519,5014,JOHNSON
2528,3896,JOHNSON
2628,5111,JOHNSON
2646,4160,JOHNSON
2675,2513,JOHNSON
2792,4728,JOHNSON
2817,2844,JOHNSON
2832,2545,JOHNSON
2918,4697,JOHNSON
2930,3980,JOHNSON
2980,4844,JOHNSON
3004,3926,JOHNSON
3083,5224,JOHNSON
3130,4134,MARION
3144,3849,DUBUQUE
3276,2624,DUBUQUE
3439,3944,DUBUQUE
3450,3632,DUBUQUE
3494,2524,DUBUQUE
3607,4106,DUBUQUE
3642,4334,DUBUQUE
3660,2413,DUBUQUE
3764,3959,DUBUQUE
3789,5258,DUBUQUE
3806,3841,DUBUQUE
3834,4167,DUBUQUE
4005,3774,DUBUQUE
4020,4712,DUBUQUE
4029,5042,DUBUQUE
4045,3738,DUBUQUE
4069,4535,DUBUQUE
4078,2649,DUBUQUE
4233,3495,JONES
4379,4252,JONES
4407,4137,DALLAS
4416,4299,LINN
4461,2666,Polk
4463,4136,POLK
4464,9911,POLK
4476,4599,POLK
4520,3625,POLK
4559,5124,POLK
4621,4131,POLK
4641,3691,POLK
4696,4449,POLK
4707,4450,POLK
4717,2665,DALLAS
4789,3943,STORY
4806,4378,DALLAS
4813,4384,DALLAS
4830,4623,DALLAS
4840,5092,POLK
4869,2619,POLK
5140,2200,SAC
5157,4098,WASHINGTON
5183,4021,JEFFERSON
5210,3811,LEE
5227,3562,DES MOINES
5272,3790,Henry
5301,2552,LINN
5456,4492,LINN
5471,3666,LINN
5492,4956,LINN
5529,4788,LINN
5544,3912,LINN
5595,5176,LINN
5717,4443,LINN
5726,4895,LINN
5783,4634,LINN
5802,5230,LINN
5821,2843,LINN
5849,5254,LINN
5877,4496,LINN
5900,4660,LINN
5915,4637,LINN
5942,4566,LINN
5957,3822,JOHNSON
5976,3663,BLACK HAWK
6013,3889,BREMER
6027,3859,BUCHANAN
6038,4019,DELAWARE
6054,2113,WEBSTER
6079,5141,WEBSTER
6091,4998,CALHOUN
6159,5010,SAC
6183,4118,SAC
6210,4116,SAC
6215,5354,SAC
6224,5151,IDA
6251,5004,IDA
6267,4097,CRAWFORD
6291,3932,MONONA
6371,5228,WOODBURY
6377,5274,PLYMOUTH
6392,3650,IDA
6450,5140,CHEROKEE
6506,3989,CHEROKEE
6531,4310,CHEROKEE
6580,2597,CHEROKEE
6623,3749,BUENA VIST
6649,2576,BUENA VIST
6709,3635,BOONE
6779,5067,BUENA VIST
6796,5028,BUENA VIST
6814,4163,BUENA VIST
6821,5326,BUENA VIST
6946,3855,BUENA VIST
6995,3876,CALHOUN
7025,4324,WEBSTER
7061,4831,BOONE
7076,2505,BOONE
7117,4935,BLACK HAWK
7179,4408,BOONE
7192,4409,BOONE
7216,4023,BOONE
7236,4107,BOONE
7277,3769,BLACK HAWK
7314,2572,BLACK HAWK
7388,3868,LINN
7580,4902,BLACK HAWK
7588,2571,BLACK HAWK
7624,4900,BLACK HAWK
7665,4648,BLACK HAWK
7681,5063,BLACK HAWK
7715,4077,BLACK HAWK
7731,4647,Black Hawk
7758,5113,BLACK HAWK
7776,4502,BLACK HAWK
7805,5243,BLACK HAWK
7843,4265,BLACK HAWK
7861,5043,BLACK HAWK
7891,3993,BLACK HAWK
7934,5174,BLACK HAWK
7974,4512,BLACK HAWK
7980,4642,BLACK HAWK
7997,3773,LINN
8187,5236,JONES
8326,3934,JACKSON
8344,3563,MUSCATINE
8378,2633,POLK
8572,2564,BLACK HAWK
8779,4511,POLK
8790,4068,POLK
8811,5169,POLK
8823,3909,Marion
