,Store Number,County Number
35,4312,78.0
117,5244,45.0
164,4829,77.0
184,4361,77.0
195,2478,77.0
217,4819,77.0
274,3644,77.0
332,3870,77.0
403,5057,77.0
411,2532,77.0
471,5318,77.0
503,4799,77.0
513,2636,77.0
549,3696,77.0
569,4622,77.0
611,3651,91.0
630,4684,91.0
671,2448,91.0
715,5359,31.0
749,2549,91.0
830,2527,77.0
970,4617,77.0
1013,5313,77.0
1053,2536,77.0
1084,3816,69.0
1115,9013,91.0
1118,9913,91.0
1120,3618,57.0
1166,2509,57.0
1251,4845,57.0
1290,5142,57.0
1356,2588,57.0
1513,2590,57.0
1650,4487,57.0
1674,4636,57.0
1707,3385,57.0
1745,3628,57.0
1777,2647,57.0
1953,4154,57.0
1977,2605,57.0
2069,4624,57.0
2144,5097,57.0
2152,4687,57.0
2161,4771,57.0
2199,5214,57.0
2211,2622,52.0
2219,2627,77.0
2291,4677,52.0
2447,2285,52.0
2448,4161,52.0
2467,5286,52.0
2496,5060,52.0
2519,5014,52.0
2528,3896,52.0
2628,5111,52.0
2646,4160,52.0
2675,2513,52.0
2792,4728,52.0
2817,2844,52.0
2832,2545,52.0
2918,4697,52.0
2930,3980,52.0
2980,4844,52.0
3004,3926,52.0
3083,5224,52.0
3130,4134,63.0
3144,3849,31.0
3276,2624,31.0
3439,3944,31.0
3450,3632,31.0
3494,2524,31.0
3607,4106,31.0
3642,4334,31.0
3660,2413,31.0
3764,3959,31.0
3789,5258,31.0
3806,3841,31.0
3834,4167,31.0
4005,3774,31.0
4020,4712,31.0
4029,5042,31.0
4045,3738,31.0
4069,4535,31.0
4078,2649,31.0
4233,3495,53.0
4379,4252,53.0
4407,4137,25.0
4416,4299,57.0
4461,2666,77.0
4463,4136,77.0
4464,9911,77.0
4476,4599,77.0
4520,3625,77.0
4559,5124,77.0
4621,4131,77.0
4641,3691,77.0
4696,4449,77.0
4707,4450,77.0
4717,2665,25.0
4789,3943,85.0
4806,4378,25.0
4813,4384,25.0
4830,4623,25.0
4840,5092,77.0
4869,2619,77.0
5140,2200,81.0
5157,4098,92.0
5183,4021,51.0
5210,3811,56.0
5227,3562,29.0
5272,3790,44.0
5301,2552,57.0
5456,4492,57.0
5471,3666,57.0
5492,4956,57.0
5529,4788,57.0
5544,3912,57.0
5595,5176,57.0
5717,4443,57.0
5726,4895,57.0
5783,4634,57.0
5802,5230,57.0
5821,2843,57.0
5849,5254,57.0
5877,4496,57.0
5900,4660,57.0
5915,4637,57.0
5942,4566,57.0
5957,3822,52.0
5976,3663,7.0
6013,3889,9.0
6027,3859,10.0
6038,4019,28.0
6054,2113,94.0
6079,5141,94.0
6091,4998,13.0
6159,5010,81.0
6183,4118,81.0
6210,4116,81.0
6215,5354,81.0
6224,5151,47.0
6251,5004,47.0
6267,4097,24.0
6291,3932,67.0
6371,5228,97.0
6377,5274,75.0
6392,3650,47.0
6450,5140,18.0
6506,3989,18.0
6531,4310,18.0
6580,2597,18.0
6623,3749,11.0
6649,2576,11.0
6709,3635,8.0
6779,5067,11.0
6796,5028,11.0
6814,4163,11.0
6821,5326,11.0
6946,3855,11.0
6995,3876,13.0
7025,4324,94.0
7061,4831,8.0
7076,2505,8.0
7117,4935,7.0
7179,4408,8.0
7192,4409,8.0
7216,4023,8.0
7236,4107,8.0
7277,3769,7.0
7314,2572,7.0
7388,3868,57.0
7580,4902,7.0
7588,2571,7.0
7624,4900,7.0
7665,4648,7.0
7681,5063,7.0
7715,4077,7.0
7731,4647,7.0
7758,5113,7.0
7776,4502,7.0
7805,5243,7.0
7843,4265,7.0
7861,5043,7.0
7891,3993,7.0
7934,5174,7.0
7974,4512,7.0
7980,4642,7.0
7997,3773,57.0
8187,5236,53.0
8326,3934,49.0
8344,3563,70.0
8378,2633,77.0
8572,2564,7.0
8779,4511,77.0
8790,4068,77.0
8811,5169,77.0
8823,3909,63.0
8844,2551,59.0
8913,5059,93.0
8935,2669,93.0
8955,4027,4.0
8972,4271,4.0
8983,2523,4.0
9061,3013,26.0
9091,4046,4.0
9118,2559,68.0
9157,4011,68.0
9190,4789,63.0
9196,4817,63.0
9222,3818,63.0
9298,2566,63.0
9382,4275,63.0
9396,5080,21.0
9410,3660,63.0
9422,5050,91.0
9453,2190,77.0
9556,5309,77.0
9565,3783,76.0
9624,3626,21.0
9647,4234,21.0
9660,2565,21.0
10009,3390,30.0
10105,5068,30.0
10147,5293,30.0
10179,5104,30.0
10211,2233,30.0
10238,3622,30.0
10258,2522,30.0
10353,4239,30.0
10376,4387,30.0
10386,4582,30.0
10418,5154,30.0
10437,4272,32.0
10499,2556,32.0
10546,4269,16.0
10619,4783,74.0
10629,3704,74.0
10731,4254,74.0
10746,4592,74.0
10785,2445,78.0
10786,2512,52.0
11019,4013,16.0
11031,5329,23.0
11050,5106,23.0
11086,5298,23.0
11107,3920,23.0
11172,2616,23.0
11373,5227,23.0
11409,2806,23.0
11486,4204,23.0
11502,4864,23.0
11527,3647,23.0
11555,4132,23.0
11568,2475,55.0
11577,3732,82.0
11623,3845,94.0
11680,3592,42.0
11730,2562,94.0
11766,2663,77.0
11777,5237,48.0
11799,2644,94.0
11910,4311,94.0
11929,5238,94.0
11969,5167,94.0
12039,4805,94.0
12047,4319,46.0
12071,2606,46.0
12116,3524,85.0
12163,5005,76.0
12186,4542,76.0
12199,4527,46.0
12223,4757,77.0
12298,4103,85.0
12314,4940,77.0
12361,5279,85.0
12371,4428,85.0
12399,4437,85.0
12437,2500,85.0
12713,2501,85.0
