,Store Number,Store Location
35,4312,"2411 S 24TH ST #1
Council Bluffs 51501
(41.238077, -95.879199)"
117,5244,"708 2nd AVE SE
Cresco 52136
(43.371131, -92.106529)"
164,4829,"1501 Michigan Ave
Des Moines 50314
(41.60572, -93.613739)"
184,4361,"4575 NW 2nd
Des Moines 50313
(41.643664, -93.619906)"
195,2478,"One Prairie Meadows Drive
Altoona 50009
"
217,4819,"2635 Adventureland Dr
Altoona 50009
(41.65854, -93.494642)"
274,3644,"3501 8th St SW
Altoona 50009
(41.644196, -93.505593)"
332,3870,"3414 8th St SW
Altoona 50009
(41.644036, -93.504184)"
403,5057,"4960 E Broadway Ave
Des Moines 50317
"
411,2532,"2540 E Euclid
Des Moines 50317
(41.627838, -93.569452)"
471,5318,"2839 East University Ave
Des Moines 50317
(41.600476, -93.561517)"
503,4799,"2930 E University Ave
Des Moines 50317
(41.600575, -93.559285)"
513,2636,"2310 Hubbell Ave
Des Moines 50317
(41.604245, -93.573912)"
549,3696,"5101 SE 14th St
Des Moines 50315
(41.537606, -93.596758)"
569,4622,"3941, SE 14th St
Des Moines 50320
(41.548497, -93.596748)"
611,3651,"1500 North Jefferson
Indianola 50125
(41.374094, -93.558423)"
630,4684,"1201 N Jefferson
Indianola 50125
(41.371668, -93.558423)"
671,2448,"705 E. SECOND
Indianola 50125
(41.358176, -93.552614)"
715,5359,"8400 NICC Drive
Peosta 52068
"
749,2549,"910 N Jefferson
Indianola 50125
(41.368369, -93.558428)"
830,2527,"1107 SE Army Post Rd
Des Moines 50315
(41.526289, -93.602371)"
970,4617,"2501 HUBBELL AVE
Des Moines 50317
(41.607867, -93.570458)"
1013,5313,"2424 SW 9th St # 1
Des Moines 50315
(41.56373, -93.624729)"
1053,2536,"4815 Maple Drive
Pleasant Hill 50317
(41.598112, -93.51923)"
1084,3816,"200 E Oak St
Red Oak 51566
(41.016691, -95.230032)"
1115,9013,"4349 Cumming Ave.
Cumming 50061
(41.483192, -93.762456)"
1118,9913,"4349 Cumming Ave.
Cumming 50061
(41.483192, -93.762456)"
1120,3618,"3601 29th Ave SW
Cedar Rapids 52404
(41.949215, -91.718042)"
1166,2509,"1520 6th St SW
Cedar Rapids 52404
(41.96233, -91.677063)"
1251,4845,"216, 3rd St SE
Cedar Rapids 52401
(41.977833, -91.666014)"
1290,5142,"2315, Mt Vernon Rd SE
Cedar Rapids 52303
(41.976967, -91.633592)"
1356,2588,"4035 Mt Vernon Rd SE
Cedar Rapids 52403
(41.976835, -91.60978)"
1513,2590,"3235 Oakland Road NE
Cedar Rapids 52402
(42.01081, -91.658175)"
1650,4487,"1661 32nd St NE
Cedar Rapids 52402
(42.010447, -91.662119)"
1674,4636,"2904 Center Point Rd NE
Cedar Rapids 52402
(42.007193, -91.662822)"
1707,3385,"2605 Blairs Ferry Rd NE
Cedar Rapids 52402
(42.031819, -91.67969)"
1745,3628,"2645 Blairs Ferry Rd NE
Cedar Rapids 52402
(42.034748, -91.680734)"
1777,2647,"5050 Edgewood Rd
Cedar Rapids 52411
(42.030457, -91.701432)"
1953,4154,"885 Miller Rd
Hiawatha 52233
(42.046309, -91.702217)"
1977,2605,"2001 Blairs Ferry Road NE
Cedar Rapids 52402
(42.034799, -91.668909)"
2069,4624,"300 E Blairs Ferry Rd
Hiawatha 52233
(42.034818, -91.673808)"
2144,5097,"3717 1st Ave SE
Cedar Rapids 52403
(42.016901, -91.634507)"
2152,4687,"3132 1st Ave NE
Cedar Rapids 52402
(42.009649, -91.634941)"
2161,4771,"502, E Ave NW
Cedar Rapids 52402
(41.977958, -91.680323)"
2199,5214,"550 Wilson Ave SW
Cedar Rapids 52404
(41.956073, -91.676432)"
2211,2622,"1125 N Dodge St
Iowa City 52240
(41.676203, -91.518536)"
2219,2627,"3424 Martin Luther King Jr Pkw
Des Moines 50310
(41.626402, -93.651112)"
2291,4677,"2900 Heartland Dr
Coralville 52241
(41.698028, -91.614941)"
2447,2285,"401 East Market St
Iowa City 52240
(41.663541, -91.529854)"
2448,4161,"2530 Westwinds Dr
Iowa City 52246
(41.650797, -91.575776)"
2467,5286,"108, College
Iowa City 52240
(41.658979, -91.533522)"
2496,5060,"504, E Burlington St
Iowa City 52240
(41.657818, -91.52843)"
2519,5014,"22 S Van Buren St
Iowa City 52240
(41.660495, -91.528718)"
2528,3896,"1901 Broadway St
Iowa City 52240
(41.641292, -91.520353)"
2628,5111,"2601 Hwy 6 East
Iowa City 52240
(41.633009, -91.493643)"
2646,4160,"2765 Commerce Dr
Iowa City 52240
(41.629591, -91.480431)"
2675,2513,"812 S 1st Ave
Iowa City 52240
(41.650954, -91.501984)"
2792,4728,"2214 Muscatine Ave
Iowa City 52240
(41.649538, -91.502717)"
2817,2844,"2425 Muscatine Ave
Iowa City 52240
(41.649547, -91.500088)"
2832,2545,"310 N 1st St
Iowa City 52245
(42.207428, -91.528105)"
2918,4697,"601 Hollywood Blvd
Iowa City 52240
(41.643824, -91.527472)"
2930,3980,"919 Hwy 1 West
Iowa City 52246
(41.646447, -91.552665)"
2980,4844,"2580, Naples Ave
Iowa City 52240
(41.632777, -91.571067)"
3004,3926,"315 S Gilbert St
Iowa City 52240
(41.657654, -91.530181)"
3083,5224,"517 2nd St
Coralville 52241
(41.671398, -91.573591)"
3130,4134,"105 W Monroe St
Pleasantville 50225
"
3144,3849,"711 16th Ave SE
Dyersville 52040
(42.4704, -91.117372)"
3276,2624,"2395 NW Arterial Rd
Dubuque 52002
(42.516633, -90.741064)"
3439,3944,"4400 Asbury Rd
Dubuque 52002
(42.515282, -90.736175)"
3450,3632,"4200 Dodge St
Dubuque 52003
(42.489041, -90.736955)"
3494,2524,"3500 Dodge St
Dubuque 52001
(42.491944, -90.720589)"
3607,4106,"2255 John F Kennedy Rd
Dubuque 52002
(42.511454, -90.720519)"
3642,4334,"2050 John F Kennedy Rd
Dubuque 52001
(42.507604, -90.720434)"
3660,2413,"1691 Asbury Road
Dubuque 52001
(42.500817, -90.696908)"
3764,3959,"1600 University Ave
Dubuque 52001
(42.49833, -90.687636)"
3789,5258,"535, Hill Street
Dubuque 52001
(42.496713, -90.67404)"
