,Item Description,Vendor Name
0,Jim Beam,Jim Beam Brands
2,Sunny Brook Blend Whiskey,Jim Beam Brands
4,Five Star,Laird & Company
5,Hawkeye Vodka 80 Prf Mini,LUXCO INC
6,Everclear Alcohol,LUXCO INC
7,Mccormick Vodka,McCormick Distilling Co.
8,Mccormick Vodka Pet,McCormick Distilling Co.
9,UV Whipped,Phillips Beverage
10,Uv Red (cherry) Vodka,Phillips Beverage
11,Black Velvet,CONSTELLATION BRANDS INC
12,Seagrams Extra Dry Gin,PERNOD RICARD USA
13,Belvedere Vodka,MOET HENNESSY USA
14,Barton Vodka,SAZERAC NORTH AMERICA
15,Chivas Regal 12 Yr,PERNOD RICARD USA
16,Christian Bros Peach,Heaven Hill Brands
17,Chi-Chi's White Russian,SAZERAC NORTH AMERICA
18,1800 Ultimate Margarita,PROXIMO
19,Fireball Cinnamon Whiskey PET,SAZERAC COMPANY  INC
20,Fireball Cinnamon Whiskey,SAZERAC COMPANY  INC
21,Dr. Mcgillicuddy's Apple Pie Schnapps,SAZERAC COMPANY  INC
22,Dr. Mcgillicuddy's Cherry Schnapps,SAZERAC COMPANY  INC
23,Kinky Liqueur Mini,Prestige Wine & Spirits Group
24,Kinky Blue Mini,Prestige Wine & Spirits Group
25,Lauder's Scotch,SAZERAC NORTH AMERICA
26,Crown Royal Regal Apple Mini,DIAGEO AMERICAS
27,Jose Cuervo Coconut Pineapple,PROXIMO
28,Bird Dog Apple Flavored Whiskey,WESTERN SPIRITS BEVERAGE
29,Caravella Limoncello w/Glass,SAZERAC NORTH AMERICA
30,Evan Williams Peach,Heaven Hill Brands
31,Rebel Yell Root Beer Whiskey,LUXCO INC
32,Crown Royal Vanilla,DIAGEO AMERICAS
33,After Shock Cinnamon Liqueur,Jim Beam Brands
34,Dekuyper Grape Pucker Schnapps,Jim Beam Brands
35,House Of Stuart,SAZERAC NORTH AMERICA
36,Bombay Dry Gin,BACARDI USA INC
37,Hpnotiq,Heaven Hill Brands
38,Bailey's Original Irish Cream,DIAGEO AMERICAS
39,Canadian Club Whisky,Jim Beam Brands
40,Barton Rum Light,SAZERAC NORTH AMERICA
41,Captain Morgan Spiced Rum,DIAGEO AMERICAS
43,Absolut Raspberri,PERNOD RICARD USA
44,Absolut Swedish Vodka 80 Prf,PERNOD RICARD USA
45,Skyy Vodka,Skyy Spirits Inc
46,Barton Gin,SAZERAC NORTH AMERICA
47,Hennessy Vs Cognac,MOET HENNESSY USA
48,Paramount Creme De Menthe/green,LUXCO INC
49,Bacardi Superior Rum,BACARDI USA INC
51,Dekuyper Luscious Peachtree Schnapps,Jim Beam Brands
52,Dekuyper Peachtree,Jim Beam Brands
53,Cabo Wabo Reposado,Skyy Spirits Inc
54,Remy Martin Vsop Cognac,REMY COINTREAU USA INC
55,Dekuyper Luscious Razzmatazz,Jim Beam Brands
56,99 Bananas Mini,SAZERAC NORTH AMERICA
57,Paul Masson Grande Amber Brandy,CONSTELLATION BRANDS INC
58,Beam's 8 Star Bl Whiskey,Jim Beam Brands
59,Crown Royal Regal Apple,DIAGEO AMERICAS
60,Crown Royal Canadian Whisky,DIAGEO AMERICAS
62,Paramount Peppermint Schnapps,LUXCO INC
63,Ciroc Red Berry,DIAGEO AMERICAS
64,Ciroc Pineapple,DIAGEO AMERICAS
65,Ciroc Peach,DIAGEO AMERICAS
66,Absolut Citron (lemon Vodka),PERNOD RICARD USA
67,Uv Green (apple) Vodka,Phillips Beverage
68,Uv Orange Vodka,Phillips Beverage
69,Bacardi Oakheart,BACARDI USA INC
70,Appleton Signature Blend,Skyy Spirits Inc
