,Item Description,Vendor Number
0,Jim Beam,65.0
2,Sunny Brook Blend Whiskey,65.0
4,Five Star,297.0
5,Hawkeye Vodka 80 Prf Mini,434.0
6,Everclear Alcohol,434.0
7,Mccormick Vodka,300.0
8,Mccormick Vodka Pet,300.0
9,UV Whipped,380.0
10,Uv Red (cherry) Vodka,380.0
11,Black Velvet,115.0
12,Seagrams Extra Dry Gin,370.0
13,Belvedere Vodka,420.0
14,Barton Vodka,55.0
15,Chivas Regal 12 Yr,370.0
16,Christian Bros Peach,259.0
17,Chi-Chi's White Russian,55.0
18,1800 Ultimate Margarita,395.0
19,Fireball Cinnamon Whiskey PET,421.0
20,Fireball Cinnamon Whiskey,421.0
21,Dr. Mcgillicuddy's Apple Pie Schnapps,421.0
22,Dr. Mcgillicuddy's Cherry Schnapps,421.0
23,Kinky Liqueur Mini,322.0
24,Kinky Blue Mini,322.0
25,Lauder's Scotch,55.0
26,Crown Royal Regal Apple Mini,260.0
27,Jose Cuervo Coconut Pineapple,395.0
28,Bird Dog Apple Flavored Whiskey,492.0
29,Caravella Limoncello w/Glass,55.0
30,Evan Williams Peach,259.0
31,Rebel Yell Root Beer Whiskey,434.0
32,Crown Royal Vanilla,260.0
33,After Shock Cinnamon Liqueur,65.0
34,Dekuyper Grape Pucker Schnapps,65.0
35,House Of Stuart,55.0
36,Bombay Dry Gin,35.0
37,Hpnotiq,259.0
38,Bailey's Original Irish Cream,260.0
39,Canadian Club Whisky,65.0
40,Barton Rum Light,55.0
41,Captain Morgan Spiced Rum,260.0
43,Absolut Raspberri,370.0
44,Absolut Swedish Vodka 80 Prf,370.0
45,Skyy Vodka,461.0
46,Barton Gin,55.0
47,Hennessy Vs Cognac,420.0
48,Paramount Creme De Menthe/green,434.0
49,Bacardi Superior Rum,35.0
51,Dekuyper Luscious Peachtree Schnapps,65.0
52,Dekuyper Peachtree,65.0
53,Cabo Wabo Reposado,461.0
54,Remy Martin Vsop Cognac,389.0
55,Dekuyper Luscious Razzmatazz,65.0
56,99 Bananas Mini,55.0
57,Paul Masson Grande Amber Brandy,115.0
58,Beam's 8 Star Bl Whiskey,65.0
59,Crown Royal Regal Apple,260.0
60,Crown Royal Canadian Whisky,260.0
62,Paramount Peppermint Schnapps,434.0
63,Ciroc Red Berry,260.0
64,Ciroc Pineapple,260.0
65,Ciroc Peach,260.0
66,Absolut Citron (lemon Vodka),370.0
67,Uv Green (apple) Vodka,380.0
68,Uv Orange Vodka,380.0
69,Bacardi Oakheart,35.0
70,Appleton Signature Blend,461.0
71,E & J Vs,205.0
72,Tullamore Dew Irish Whisky,240.0
74,Dekuyper Buttershots Schnapps,65.0
75,Pendleton Canadian Whisky,971.0
76,Cabo Wabo Blanco,461.0
77,Don Julio Reposado,260.0
78,Paramount Amaretto,434.0
79,Stolichnaya Vanil Vodka 75 Proof,277.0
80,Stolichnaya Ohranj Vodka,277.0
81,Sailor Jerry Spiced Navy Rum,240.0
82,Bombay Sapphire Gin,35.0
83,Dekuyper Cactus Juice,65.0
84,Jeremiah Weed Sweet Tea,260.0
85,Paramount Long Island Iced Tea,434.0
86,Grand Marnier Cordon Rouge,461.0
87,Cointreau Liqueur,389.0
88,Drambuie Liqueur,240.0
89,Tanqueray Gin,260.0
92,Phillips Vodka,380.0
94,Patron Tequila Silver,410.0
95,Hennessy Black,420.0
96,Courvoisier Vs Cognac,65.0
97,Dewars White Label Scotch,35.0
98,Paramount White Rum,434.0
99,Malibu Coconut Rum,370.0
100,Jameson,370.0
102,Maker's Mark,65.0
103,Dekuyper Sour Apple Pucker,65.0
104,Rumple Minze Peppermint Schnapps Liqueur,260.0
105,Jose Cuervo Especial Reposado Tequila,395.0
106,Juarez Tequila Gold,434.0
107,Juarez Triple Sec,434.0
108,Paramount Gin,434.0
109,Dekuyper Sour Apple,65.0
110,Dekuyper Strawberry Pucker,65.0
111,Dekuyper Signature Blue Curacao,65.0
112,Jagermeister Liqueur,192.0
113,Hawkeye Vodka,434.0
114,Clan Macgregor Scotch,240.0
115,Titos Handmade Vodka,301.0
116,Kessler Blend Whiskey,65.0
120,Paramount Peppermint Schnapps Traveler,434.0
121,Gilbey's Gin London Dry,65.0
122,Bulleit Bourbon,260.0
123,Seagrams Vodka,255.0
124,Grey Goose Vodka,35.0
125,Phillips Blackberry Flav Brandy,380.0
126,Christian Bros Brandy,259.0
128,Smirnoff Vodka 80 Prf Mini,260.0
129,Fireball Cinnamon Whiskey Mini Dispenser,421.0
131,Uv Blue Raspberry Vodka Mini,380.0
132,McCormick Vodka Mini,300.0
133,Seagrams 7 Crown Bl Whiskey Mini,260.0
134,Bacardi Gold Rum Mini,35.0
136,E & J Vs Brandy Mini,205.0
137,Kinky Vodka Mini,322.0
138,Titos Handmade Mini,301.0
139,Bird Dog Kentucky Blended Whiskey,492.0
140,Jim Beam Maple Mini,65.0
141,Paramount Blackberry Brandy,434.0
143,Southern Comfort PET,421.0
144,Uv Blue (raspberry) Vodka,380.0
147,Jack Daniels Old #7 Black Lbl Square,85.0
148,Tuaca Perfect Chill,421.0
149,Wild Turkey 101,461.0
150,Licor 43,978.0
151,Crown Royal Canadian Whisky Mini,260.0
153,Seagrams V.o. Bl Canadian Whisky Pet,260.0
155,George Dickel #12,260.0
156,Smirnoff Vodka 80 Prf,260.0
157,Captain Morgan Silver Spiced Rum,260.0
159,Elijah Craig,259.0
160,Evan Williams Cherry Reserve,259.0
161,Evan Williams Honey,259.0
162,Evan Williams Yr Str Bourbon,259.0
164,Three Olives Grape Vodka,395.0
165,Paramount Vodka,434.0
167,Old Crow,65.0
168,Juarez Gold Dss,434.0
169,Old Forester Bourbon,85.0
170,Ten High,55.0
171,Old Overholt Rye,65.0
172,St. Germain,35.0
175,Uv Grape Vodka,380.0
177,Hawkeye Gin,434.0
178,Woodford Reserve,85.0
180,Uv Ivory (vanilla) Vodka,380.0
181,Smirnoff Kissed Caramel,260.0
182,New Amsterdam Orange,205.0
183,Kahlua Coffee Liqueur,370.0
186,Captain Morgan Spiced Rum Pet,260.0
187,Captain Morgan Spiced Rum Mini,260.0
188,Captain Morgan Original Spiced,260.0
190,Hennessy VS,420.0
191,Jack Daniels Old #7 Black Lbl Mini,85.0
192,New Amsterdam Peach,205.0
193,New Amsterdam Pineapple,205.0
194,Southern Comfort,421.0
195,Disaronno Amaretto,130.0
198,Chambord Liqueur Royale De France,85.0
199,Effen Black Cherry Vodka,65.0
200,Pearl Pomegranate Vodka,434.0
201,Patron Anejo,410.0
204,Jack Daniels Old #7 Black Lbl,85.0
205,Ketel One Imported Vodka,260.0
206,Blue Chair Bay Coconut,305.0
209,Johnnie Walker Red Label Scotch,260.0
212,Stoli Razberi (raspberry),277.0
217,Smirnoff Vodka 100 Prf,260.0
219,Pinnacle Vodka,65.0
221,TGIFridays Ultimate Mudslide,112.0
222,Uv Blue Raspberry Lemonade Pet,380.0
223,Bacardi Party Drinks Zombie,35.0
224,Chi-Chi's Orange Cream,55.0
225,Chi-Chi's Pineapple Margarita,55.0
226,Titos Vodka,301.0
227,Fris Danish Vodka,421.0
230,Crown Royal,260.0
234,Fireball Cinnamon Whisky,421.0
235,Canadian Ltd Whisky,55.0
239,New Amsterdam Vodka,205.0
240,New Amsterdam Apple Vodka,205.0
243,New Amsterdam Mango,205.0
246,Kinky Red Liqueur,322.0
248,Hennessy Vs Cognac 100ml,420.0
249,Svedka Vodka,115.0
251,New Amsterdam Red Berry,205.0
252,1800 Silver Tequila,395.0
255,Black Velvet Cinnamon Rush,115.0
256,Old Crow Traveler,65.0
258,Southern Comfort Pet,421.0
259,Bacardi Limon,35.0
260,Bacardi Mango,35.0
263,99 Blackberries,55.0
264,Jim Beam Kentucky Fire,65.0
265,UV Candy Bar Mini,380.0
268,Tequila Rose Liqueur Mini,300.0
