,Store Number,Zip Code
35,4312,51501.0
117,5244,52136.0
164,4829,50314.0
184,4361,50313.0
195,2478,50009.0
217,4819,50009.0
274,3644,50009.0
332,3870,50009.0
403,5057,50317.0
411,2532,50317.0
471,5318,50317.0
503,4799,50317.0
513,2636,50317.0
549,3696,50315.0
569,4622,50320.0
611,3651,50125.0
630,4684,50125.0
671,2448,50125.0
715,5359,52068.0
749,2549,50125.0
830,2527,50315.0
970,4617,50317.0
1013,5313,50315.0
1053,2536,50317.0
1084,3816,51566.0
1115,9013,50061.0
1118,9913,50061.0
1120,3618,52404.0
1166,2509,52404.0
1251,4845,52401.0
1290,5142,52303.0
1356,2588,52403.0
1513,2590,52402.0
1650,4487,52402.0
1674,4636,52402.0
1707,3385,52402.0
1745,3628,52402.0
1777,2647,52411.0
1953,4154,52233.0
1977,2605,52402.0
2069,4624,52233.0
2144,5097,52403.0
2152,4687,52402.0
2161,4771,52402.0
2199,5214,52404.0
2211,2622,52240.0
2219,2627,50310.0
2291,4677,52241.0
2447,2285,52240.0
2448,4161,52246.0
2467,5286,52240.0
2496,5060,52240.0
2519,5014,52240.0
2528,3896,52240.0
2628,5111,52240.0
2646,4160,52240.0
2675,2513,52240.0
2792,4728,52240.0
2817,2844,52240.0
2832,2545,52245.0
2918,4697,52240.0
2930,3980,52246.0
2980,4844,52240.0
3004,3926,52240.0
3083,5224,52241.0
3130,4134,50225.0
3144,3849,52040.0
3276,2624,52002.0
3439,3944,52002.0
3450,3632,52003.0
3494,2524,52001.0
3607,4106,52002.0
3642,4334,52001.0
3660,2413,52001.0
3764,3959,52001.0
3789,5258,52001.0
3806,3841,52001.0
3834,4167,52001.0
4005,3774,52001.0
4020,4712,52001.0
4029,5042,52001.0
4045,3738,52001.0
4069,4535,52001.0
4078,2649,52001.0
4233,3495,52310.0
4379,4252,52310.0
4407,4137,50263.0
4416,4299,52214.0
4461,2666,50023.0
4463,4136,50111.0
4464,9911,50322.0
4476,4599,50317.0
4520,3625,50021.0
4559,5124,50131.0
4621,4131,50322.0
4641,3691,50322.0
4696,4449,50322.0
4707,4450,50323.0
4717,2665,50263.0
4789,3943,50201.0
4806,4378,50263.0
4813,4384,50003.0
4830,4623,50261.0
4840,5092,50265.0
4869,2619,50266.0
5140,2200,50583.0
5157,4098,52353.0
5183,4021,52556.0
5210,3811,52632.0
5227,3562,52655.0
5272,3790,52641.0
5301,2552,52404.0
5456,4492,52404.0
5471,3666,52404.0
5492,4956,52405.0
5529,4788,52405.0
5544,3912,52405.0
5595,5176,52405.0
5717,4443,52324.0
5726,4895,52402.0
5783,4634,52402.0
5802,5230,52402.0
5821,2843,52402.0
5849,5254,52402.0
5877,4496,52402.0
5900,4660,52403.0
5915,4637,52404.0
5942,4566,52404.0
5957,3822,52338.0
5976,3663,50702.0
6013,3889,50677.0
6027,3859,50644.0
6038,4019,52057.0
6054,2113,50543.0
6079,5141,50543.0
6091,4998,51449.0
6159,5010,50583.0
6183,4118,51450.0
6210,4116,51450.0
6215,5354,51466.0
6224,5151,51445.0
6251,5004,51445.0
6267,4097,51461.0
6291,3932,51034.0
6371,5228,51004.0
6377,5274,51028.0
6392,3650,51025.0
6450,5140,51012.0
6506,3989,51012.0
6531,4310,51012.0
6580,2597,51012.0
6623,3749,50588.0
6649,2576,50588.0
6709,3635,50212.0
6779,5067,50588.0
6796,5028,50588.0
6814,4163,50588.0
6821,5326,50588.0
6946,3855,50588.0
6995,3876,50563.0
7025,4324,50530.0
7061,4831,50036.0
7076,2505,50036.0
7117,4935,50703.0
7179,4408,50036.0
7192,4409,50036.0
7216,4023,50036.0
7236,4107,50036.0
7277,3769,50613.0
7314,2572,50613.0
7388,3868,52302.0
7580,4902,50703.0
7588,2571,50703.0
7624,4900,50703.0
7665,4648,50703.0
7681,5063,50703.0
7715,4077,50703.0
7731,4647,50707.0
7758,5113,50703.0
7776,4502,50703.0
7805,5243,50703.0
7843,4265,50702.0
7861,5043,50702.0
7891,3993,50701.0
7934,5174,50701.0
7974,4512,50701.0
7980,4642,50701.0
7997,3773,52401.0
8187,5236,52205.0
8326,3934,52060.0
8344,3563,52761.0
8378,2633,50320.0
8572,2564,50701.0
8779,4511,50317.0
8790,4068,50265.0
8811,5169,50313.0
8823,3909,50163.0
8844,2551,50049.0
8913,5059,50123.0
8935,2669,50060.0
8955,4027,52544.0
8972,4271,52544.0
8983,2523,52544.0
9061,3013,52537.0
9091,4046,52544.0
9118,2559,52531.0
9157,4011,52531.0
9190,4789,50044.0
9196,4817,50138.0
9222,3818,50138.0
9298,2566,50138.0
9382,4275,50138.0
9396,5080,51301.0
9410,3660,50138.0
9422,5050,50047.0
9453,2190,50314.0
9556,5309,50314.0
9565,3783,50574.0
9624,3626,51301.0
9647,4234,51301.0
9660,2565,51301.0
10009,3390,51351.0
10105,5068,51331.0
10147,5293,51331.0
10179,5104,51331.0
10211,2233,51360.0
10238,3622,51360.0
10258,2522,51360.0
10353,4239,51360.0
10376,4387,51360.0
10386,4582,51360.0
10418,5154,51347.0
10437,4272,51334.0
10499,2556,51334.0
10546,4269,52772.0
10619,4783,50536.0
10629,3704,50536.0
10731,4254,50536.0
10746,4592,50536.0
10785,2445,51560.0
10786,2512,52240.0
11019,4013,52772.0
11031,5329,52751.0
11050,5106,52742.0
11086,5298,52742.0
11107,3920,52732.0
11172,2616,52732.0
11373,5227,52732.0
11409,2806,52732.0
11486,4204,52733.0
11502,4864,52733.0
11527,3647,52732.0
11555,4132,52730.0
11568,2475,50597.0
11577,3732,52748.0
11623,3845,50569.0
11680,3592,50501.0
11730,2562,50501.0
11766,2663,50322.0
11777,5237,50501.0
11799,2644,50501.0
11910,4311,50501.0
11929,5238,50501.0
11969,5167,50501.0
12039,4805,50501.0
12047,4319,50548.0
12071,2606,50548.0
12116,3524,50010.0
12163,5005,50554.0
12186,4542,50554.0
12199,4527,50541.0
12223,4757,50035.0
12298,4103,50010.0
12314,4940,50046.0
12361,5279,50010.0
12371,4428,50014.0
12399,4437,50010.0
12437,2500,50010.0
12713,2501,50010.0
12966,4129,50010.0
13144,2609,50010.0
13170,4438,50010.0
13187,3866,50010.0
13206,4004,50010.0
13217,4674,50010.0
13299,4105,50201.0
13345,5000,50201.0
13354,5135,50124.0
13371,3952,52722.0
13373,4453,50436.0
13378,3772,50314.0
13401,4448,50322.0
13406,5250,50317.0
13460,2625,52804.0
13640,3776,52806.0
13689,2603,52722.0
13693,4192,52722.0
14114,5013,52722.0
14137,5335,52722.0
14159,4717,52722.0
14167,2840,52722.0
14184,3715,52807.0
