,Cost Total
0,138.96
1,3178.56
2,144.48
3,144.48
4,144.48
5,144.48
6,144.48
7,2084.4
8,144.48
9,144.48
10,288.96
11,144.48
12,144.48
13,36.0
14,144.0
15,24.0
16,138.0
17,144.0
18,144.0
19,138.48
20,138.48
21,13.2
22,5.99
23,6.6
24,6.6
25,6.6
26,6.6
27,6.6
28,6.6
29,6.6
30,6.6
31,29.72
32,29.72
33,29.72
34,29.72
35,29.72
36,29.72
37,29.72
38,29.72
39,29.72
40,29.72
41,110.88
42,59.5
43,102.0
44,99.24
45,46.56
46,46.56
47,54.599999999999994
48,46.56
49,54.599999999999994
50,54.599999999999994
51,54.599999999999994
52,54.599999999999994
53,46.56
54,46.56
55,46.56
56,54.599999999999994
57,54.599999999999994
58,54.599999999999994
59,46.56
60,46.56
61,46.56
62,54.599999999999994
63,54.599999999999994
64,54.599999999999994
65,46.56
66,54.599999999999994
67,54.599999999999994
68,120.0
69,108.0
70,120.0
71,120.0
72,120.0
73,120.0
74,144.0
75,144.0
76,144.0
77,27.0
78,17.08
79,25.619999999999997
80,17.08
81,18.0
82,18.0
83,18.0
84,107.82
85,111.0
86,107.82
87,75.0
88,75.0
89,75.0
90,1725.0
91,375.0
92,3750.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,75.0
99,1500.0
100,75.0
101,75.0
102,75.0
103,1500.0
104,213.12
105,213.12
106,213.12
107,213.12
108,213.12
109,79.56
110,79.56
111,79.56
112,79.56
113,79.56
114,79.56
115,79.56
116,79.56
117,79.56
118,39.0
119,39.0
120,39.0
121,117.0
122,39.0
123,39.0
124,39.0
125,39.0
126,39.0
127,39.0
128,39.0
129,39.0
130,39.0
131,39.0
132,39.0
133,39.0
134,39.0
135,39.0
136,39.0
137,39.0
138,39.0
139,39.0
140,39.0
141,62.760000000000005
142,62.760000000000005
143,57.96
144,62.760000000000005
145,62.760000000000005
146,57.96
147,62.760000000000005
148,62.760000000000005
149,57.96
150,57.96
151,62.760000000000005
152,62.760000000000005
153,57.96
154,57.96
155,57.96
156,62.760000000000005
157,62.760000000000005
158,62.760000000000005
159,62.760000000000005
160,62.760000000000005
161,57.96
162,62.760000000000005
163,57.96
164,62.760000000000005
165,62.760000000000005
166,62.760000000000005
167,57.96
168,62.760000000000005
169,57.96
170,57.96
171,57.96
172,62.760000000000005
173,62.760000000000005
174,57.96
175,57.96
176,67.56
177,67.56
178,67.56
179,135.12
180,67.56
181,202.68
182,64.56
183,67.56
184,67.56
185,67.56
186,67.56
187,67.56
188,67.56
189,67.56
190,67.56
191,67.56
192,67.56
193,67.56
194,67.56
195,67.56
196,64.56
197,78.36
198,73.67999999999999
199,156.72
200,78.36
201,78.36
202,73.67999999999999
203,78.36
204,78.36
205,78.36
206,78.36
207,78.36
208,78.36
209,144.0
210,144.0
211,144.0
212,144.0
213,144.0
214,144.0
215,57.0
216,120.12
217,120.12
218,120.12
219,69.24
220,69.24
221,69.24
222,69.24
223,69.24
224,69.24
225,69.24
226,69.24
227,69.24
228,76.56
229,76.56
230,76.56
231,76.56
232,76.56
233,76.56
234,108.47999999999999
235,542.4
236,108.47999999999999
237,108.47999999999999
238,108.47999999999999
239,108.47999999999999
240,542.4
241,63.0
242,63.0
243,63.0
244,108.47999999999999
245,542.4
246,108.47999999999999
247,108.47999999999999
248,108.47999999999999
249,108.47999999999999
250,108.47999999999999
251,108.47999999999999
252,542.4
253,542.4
254,108.47999999999999
255,108.47999999999999
256,108.47999999999999
257,542.4
258,108.47999999999999
259,108.47999999999999
260,108.47999999999999
261,108.47999999999999
262,39.12
263,39.12
264,39.12
265,39.12
266,39.12
267,39.12
268,39.12
269,39.12
270,39.12
271,39.12
272,39.12
273,39.96
274,39.12
275,79.92
276,39.12
277,39.96
278,39.12
279,39.12
280,39.12
281,39.12
282,39.12
283,39.12
284,39.12
285,39.12
286,39.12
287,39.96
288,39.12
289,39.12
290,39.12
291,39.12
292,39.12
293,39.12
294,39.12
295,39.12
296,214.56
297,85.67999999999999
298,83.88
299,83.88
300,83.88
301,83.88
302,49.44
303,49.44
304,49.44
305,49.44
306,49.44
307,49.44
308,49.44
309,49.44
310,49.44
311,151.44
312,6.83
313,6.83
314,6.83
315,6.83
316,13.66
317,75.6
318,63.599999999999994
319,75.6
320,75.6
321,75.6
322,75.6
323,75.6
324,63.599999999999994
325,75.6
326,78.0
327,78.0
328,75.0
329,78.0
330,75.0
331,74.64
332,78.0
333,78.0
334,78.0
335,75.0
336,78.0
337,75.0
338,75.0
339,78.0
340,75.0
341,78.0
342,78.0
343,78.0
344,46.2
345,46.2
346,46.2
347,46.2
348,46.2
349,46.2
350,46.2
351,46.2
352,46.2
353,46.2
354,46.2
355,46.2
356,46.2
357,46.2
358,39.03
359,226.79999999999998
360,313.5
361,250.79999999999998
362,250.79999999999998
363,250.79999999999998
364,376.2
365,5670.0
366,250.79999999999998
367,438.9
368,349.2
369,170.1
370,232.79999999999998
371,2793.6
372,5820.0
373,340.2
374,226.79999999999998
375,226.79999999999998
376,90.36
377,78.36
378,90.36
379,38.04
380,41.28
381,38.04
382,42.0
383,38.04
384,41.28
385,38.04
386,41.28
387,42.0
388,41.28
389,399.9
390,79.98
391,559.86
392,79.98
393,79.98
394,79.98
395,79.98
396,79.98
397,79.98
398,79.98
399,79.98
400,439.8
401,159.96
402,79.98
403,79.98
404,79.98
405,79.98
406,79.98
407,48.0
408,47.519999999999996
409,47.519999999999996
410,47.519999999999996
411,47.519999999999996
412,47.519999999999996
413,91.08
414,86.52
415,139.8
416,139.8
417,139.8
418,139.8
419,139.8
420,79.86
421,79.86
422,82.80000000000001
423,82.80000000000001
424,207.0
425,207.0
426,207.0
427,207.0
428,207.0
429,207.0
430,207.0
431,207.0
432,207.0
433,207.0
434,207.0
435,66.12
436,66.12
437,66.12
438,197.64
439,49.199999999999996
440,49.199999999999996
441,4.74
442,9.48
443,4.74
444,4.74
445,4.74
446,4.74
447,4.74
448,73.44
449,44.160000000000004
450,46.32
451,44.160000000000004
452,44.160000000000004
453,44.160000000000004
454,44.160000000000004
455,44.160000000000004
456,44.160000000000004
457,44.160000000000004
458,44.160000000000004
459,44.160000000000004
460,44.160000000000004
461,44.160000000000004
462,67.08
463,64.08
464,64.08
465,64.08
466,67.08
467,64.08
468,86.52
469,95.52
470,63.599999999999994
471,75.6
472,75.6
473,75.6
474,63.599999999999994
475,75.6
476,39.0
477,39.0
478,39.0
479,78.0
480,39.0
481,39.0
482,39.0
483,39.0
484,39.0
485,39.0
486,78.0
487,39.0
488,39.0
489,39.0
490,39.0
491,39.0
492,39.0
493,39.0
494,39.0
495,39.0
496,39.0
497,39.0
498,39.0
499,39.0
500,39.0
501,39.0
502,39.0
503,39.0
504,39.0
505,39.0
506,39.0
507,39.0
508,39.0
509,39.0
510,324.0
511,312.96
512,312.96
513,324.0
514,312.96
515,108.96000000000001
516,108.96000000000001
517,108.96000000000001
518,7.92
519,7.92
520,7.92
521,15.84
522,7.92
523,7.92
524,15.84
525,4278.0
526,42.78
527,85.56
528,171.12
529,128.34
530,128.34
531,42.78
532,85.56
533,42.78
534,85.56
535,85.56
536,128.34
537,128.34
538,42.78
539,42.78
540,85.56
541,171.12
542,85.56
543,42.78
544,128.34
545,128.34
546,60.0
547,120.0
548,300.0
549,1200.0
550,60.0
551,60.0
552,1200.0
553,120.0
554,60.0
555,120.0
556,120.0
557,600.0
558,60.0
559,60.0
560,600.0
561,35.46
562,58.92
563,29.46
564,106.38
565,70.92
566,35.46
567,35.46
568,35.46
569,182.16
570,91.08
571,95.52
572,95.52
