,Item_Number_Labels,Store_Labels
0,often,med
1,often,med
2,often,med
3,often,med
4,often,med
5,often,med
6,often,med
7,often,med
8,often,med
9,often,med
10,often,med
11,often,med
12,often,med
13,often,med
14,often,med
15,often,med
16,often,med
17,often,med
18,often,med
19,often,med
20,often,med
21,constant,med
22,constant,med
23,constant,med
24,constant,med
25,constant,med
26,constant,med
27,constant,med
28,constant,med
29,constant,med
30,constant,med
31,rare,med
32,rare,med
33,rare,med
34,rare,med
35,rare,med
36,rare,med
37,rare,med
38,rare,med
39,rare,med
40,rare,med
41,constant,med
42,constant,med
43,constant,med
44,constant,med
45,constant,med
46,constant,med
47,constant,med
48,constant,med
49,constant,med
50,constant,med
51,constant,med
52,constant,med
53,constant,med
54,constant,med
55,constant,med
56,constant,med
57,constant,med
58,constant,med
59,constant,med
60,constant,med
61,constant,med
62,constant,med
63,constant,med
64,constant,med
65,constant,med
66,constant,med
67,constant,med
68,constant,med
69,constant,med
70,constant,med
71,constant,med
72,constant,med
73,constant,med
74,occasional,med
75,occasional,med
76,occasional,med
77,constant,med
78,constant,med
79,constant,med
80,constant,med
81,constant,med
82,constant,med
83,constant,med
84,occasional,med
85,occasional,med
86,occasional,med
87,often,med
88,often,med
89,often,med
90,often,med
91,often,med
92,often,med
93,often,med
94,often,med
95,often,med
96,often,med
97,often,med
98,often,med
99,often,med
100,often,med
101,often,med
102,often,med
103,often,med
104,occasional,med
105,occasional,med
106,occasional,med
107,occasional,med
108,occasional,med
109,constant,med
110,constant,med
111,constant,med
112,constant,med
113,constant,med
114,constant,med
115,constant,med
116,constant,med
117,constant,med
118,constant,med
119,constant,med
120,constant,med
121,constant,med
122,constant,med
123,constant,med
124,constant,med
125,constant,med
126,constant,med
127,constant,med
128,constant,med
129,constant,med
130,constant,med
131,constant,med
132,constant,med
133,constant,med
134,constant,med
135,constant,med
136,constant,med
137,constant,med
138,constant,med
139,constant,med
140,constant,med
141,constant,med
142,constant,med
143,constant,med
144,constant,med
145,constant,med
146,constant,med
147,constant,med
148,constant,med
149,constant,med
150,constant,med
151,constant,med
152,constant,med
153,constant,med
154,constant,med
155,constant,med
156,constant,med
157,constant,med
158,constant,med
159,constant,med
160,constant,med
161,constant,med
162,constant,med
163,constant,med
164,constant,med
165,constant,med
166,constant,med
167,constant,med
168,constant,med
169,constant,med
170,constant,med
171,constant,med
172,constant,med
173,constant,med
174,constant,med
175,constant,med
176,often,med
177,often,med
178,often,med
179,often,med
180,often,med
181,often,med
182,often,med
183,often,med
184,often,med
185,often,med
186,often,med
187,often,med
188,often,med
189,often,med
190,often,med
191,often,med
192,often,med
193,often,med
194,often,med
195,often,med
196,often,med
197,constant,med
198,constant,med
199,constant,med
200,constant,med
201,constant,med
202,constant,med
203,constant,med
204,constant,med
205,constant,med
206,constant,med
207,constant,med
208,constant,med
209,often,med
210,often,med
211,often,med
212,often,med
213,often,med
214,often,med
215,constant,med
216,constant,med
217,constant,med
218,constant,med
219,constant,med
220,constant,med
221,constant,med
222,constant,med
223,constant,med
224,constant,med
225,constant,med
226,constant,med
227,constant,med
228,constant,med
229,constant,med
230,constant,med
231,constant,med
232,constant,med
233,constant,med
234,occasional,med
235,occasional,med
236,occasional,med
237,occasional,med
238,occasional,med
239,occasional,med
240,occasional,med
241,occasional,med
242,occasional,med
243,occasional,med
244,occasional,med
245,occasional,med
246,occasional,med
247,occasional,med
248,occasional,med
249,occasional,med
250,occasional,med
251,occasional,med
252,occasional,med
253,occasional,med
254,occasional,med
255,occasional,med
256,occasional,med
257,occasional,med
258,occasional,med
259,occasional,med
260,occasional,med
261,occasional,med
262,constant,med
263,constant,med
264,constant,med
265,constant,med
266,constant,med
267,constant,med
268,constant,med
269,constant,med
270,constant,med
271,constant,med
272,constant,med
273,constant,med
274,constant,med
275,constant,med
276,constant,med
277,constant,med
278,constant,med
279,constant,med
280,constant,med
281,constant,med
282,constant,med
283,constant,med
284,constant,med
285,constant,med
286,constant,med
287,constant,med
288,constant,med
289,constant,med
290,constant,med
291,constant,med
292,constant,med
293,constant,med
294,constant,med
295,constant,med
296,constant,med
297,constant,med
298,constant,med
299,constant,med
300,constant,med
301,constant,med
302,occasional,med
303,occasional,med
304,occasional,med
305,occasional,med
306,occasional,med
307,occasional,med
308,occasional,med
309,occasional,med
310,occasional,med
311,often,med
312,constant,med
313,constant,med
314,constant,med
315,constant,med
316,constant,med
317,constant,med
318,constant,med
319,constant,med
320,constant,med
321,constant,med
322,constant,med
323,constant,med
324,constant,med
325,constant,med
326,constant,med
327,constant,med
328,constant,med
329,constant,med
330,constant,med
331,constant,med
332,constant,med
333,constant,med
334,constant,med
335,constant,med
336,constant,med
337,constant,med
338,constant,med
339,constant,med
340,constant,med
341,constant,med
342,constant,med
343,constant,med
344,constant,med
345,constant,med
346,constant,med
347,constant,med
348,constant,med
349,constant,med
350,constant,med
351,constant,med
352,constant,med
353,constant,med
354,constant,med
355,constant,med
356,constant,med
357,constant,med
358,often,med
359,constant,med
360,constant,med
361,constant,med
362,constant,med
363,constant,med
364,constant,med
365,constant,med
366,constant,med
367,constant,med
368,constant,med
369,constant,med
370,constant,med
371,constant,med
372,constant,med
373,constant,med
374,constant,med
375,constant,med
376,constant,med
377,constant,med
378,constant,med
379,constant,med
380,constant,med
381,constant,med
382,constant,med
383,constant,med
384,constant,med
385,constant,med
386,constant,med
387,constant,med
388,constant,med
389,often,med
390,often,med
391,often,med
392,often,med
393,often,med
394,often,med
395,often,med
396,often,med
397,often,med
398,often,med
399,often,med
400,often,med
401,often,med
402,often,med
403,often,med
404,often,med
405,often,med
406,often,med
407,occasional,med
408,occasional,med
409,occasional,med
410,occasional,med
411,occasional,med
412,occasional,med
413,constant,med
414,constant,med
415,often,med
416,often,med
417,often,med
418,often,med
419,often,med
420,often,med
421,often,med
422,constant,med
423,constant,med
424,occasional,med
425,occasional,med
426,occasional,med
427,occasional,med
428,occasional,med
429,occasional,med
430,occasional,med
431,occasional,med
432,occasional,med
433,occasional,med
434,occasional,med
435,constant,med
436,constant,med
437,constant,med
438,occasional,med
439,constant,med
440,constant,med
441,constant,med
442,constant,med
443,constant,med
444,constant,med
445,constant,med
446,constant,med
447,constant,med
448,occasional,med
449,occasional,med
450,occasional,med
451,occasional,med
452,occasional,med
453,occasional,med
454,occasional,med
